Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,0.0001149,3.7222E-06,0.0085171,0,0,0,0.38148,0.0003937,3.0704E-07,2.4029E-07,0.00039401,8.1321E-09,0.00072346,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/body.STL,1,1,1,1,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/body.STL,,body-1;leg_composed-6/servo_plus_horn-1/servo_only-1;leg_composed-1/servo_plus_horn-1/servo_only-1;leg_composed-5/servo_plus_horn-1/servo_only-1;leg_composed-3/mat-1;leg_composed-3/servo_plus_horn-1/servo_only-1;leg_composed-4/servo_plus_horn-1/servo_only-1;leg_composed-2/servo_plus_horn-1/servo_only-1;leg_composed-2/mat-1;leg_composed-1/mat-1;leg_composed-6/mat-1;leg_composed-5/mat-1;leg_composed-4/mat-1;leg_composed-3/servo_plus_horn-1/horn_only-1;leg_composed-4/servo_plus_horn-1/horn_only-1;leg_composed-2/servo_plus_horn-1/horn_only-1;leg_composed-1/servo_plus_horn-1/horn_only-1;leg_composed-6/servo_plus_horn-1/horn_only-1;leg_composed-5/servo_plus_horn-1/horn_only-1,坐标系_body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
haunch1,-0.0315561825818344,-0.0169133100110957,0.0204690260037609,0,0,0,0.0528585135805074,1.68421962031926E-05,1.17146613864481E-07,-6.75188505355466E-07,1.66982269730577E-05,-4.99865507977724E-07,9.2007588209315E-06,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/haunch1.STL,1,1,1,1,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/haunch1.STL,,leg_composed-1/haunch-1;leg_composed-1/servo_plus_horn-2/servo_only-1;leg_composed-1/servo_plus_horn-2/horn_only-1;leg_composed-1/mat-2,坐标系_16,基准轴16,jo_haunch1,revolute,-0.075469,-0.020618,-0.0088,0,0,-0.20877,body,0,0,-1,0,0,-30,50,,,,,,,,
thigh1,-0.044559,-0.01354,-1.3528E-07,0,0,0,0.026678,1.4421E-05,-2.2801E-06,5.0777E-11,1.7224E-05,-9.0813E-11,3.0444E-05,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/thigh1.STL,1,1,1,1,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/thigh1.STL,,leg_composed-1/thigh-2,坐标系_17,基准轴17,jo_thigh1,revolute,-0.0343653982253839,-0.0226521942604925,0.0101500000000387,0,0,0,haunch1,0.488032087614086,-0.872825687900532,0,0,0,-30,50,,,,,,,,
calf1,-0.00090436490033019,0.00183917832215064,-0.0205292194941872,0,0,0,0.0696897389529788,5.96293509007144E-05,-7.8932375758639E-06,2.33095604129481E-05,6.93042902191396E-05,1.31548697449078E-05,2.78165089200295E-05,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/calf1.STL,1,1,1,1,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/calf1.STL,,leg_composed-1/calf-1;leg_composed-1/mat-3;leg_composed-1/servo_plus_horn-3/servo_only-1;leg_composed-1/servo_plus_horn-3/horn_only-1,坐标系_18,基准轴18,jo_calf1,revolute,-0.0794271375992236,-0.0444109199730361,0,0,0,0,thigh1,0.488032087614086,-0.872825687900532,0,0,0,-90,30,,,,,,,,
haunch2,-0.0021898776725171,-0.0357359364008739,0.0204690260037359,0,0,0,0.0528585135805073,1.66332313691754E-05,1.18967879192779E-08,7.05448478805148E-08,1.69071918070749E-05,-8.37119148190892E-07,9.20075882093149E-06,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/haunch2.STL,1,1,1,1,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/haunch2.STL,,leg_composed-2/haunch-1;leg_composed-2/servo_plus_horn-2/servo_only-1;leg_composed-2/servo_plus_horn-2/horn_only-1;leg_composed-2/mat-2,坐标系_13,基准轴13,jo_haunch2,revolute,-0.019879,-0.075667,-0.0088,0,0,-0.20877,body,0,0,-1,0,0,-30,50,,,,,,,,
thigh2,-0.0116466757933126,-0.0393653880142424,-0.0219897134204051,0,0,0,0.0266777976712455,1.84961515988032E-05,-5.69126762290657E-08,-3.17301747714618E-07,1.71886664881407E-05,-7.3118857406815E-06,2.64036881743963E-05,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/thigh2.STL,1,1,1,1,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/thigh2.STL,,leg_composed-2/thigh-2,坐标系_14,基准轴14,jo_thigh2,revolute,0.001217,-0.041141,0.01015,0,0,0,haunch2,0.99906,-0.043367,0,0,0,-30,50,,,,,,,,
calf2,-0.00243920349053797,-0.00899918876582867,-0.0184041895693192,0,0,0,0.0696897389529788,7.37164518435013E-05,-1.48126916610701E-07,1.19355417906646E-07,7.11576264191181E-05,5.06184664035447E-06,1.18760717772636E-05,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/calf2.STL,1,1,1,1,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/calf2.STL,,leg_composed-2/calf-1;leg_composed-2/servo_plus_horn-3/horn_only-1;leg_composed-2/servo_plus_horn-3/servo_only-1;leg_composed-2/mat-3,坐标系_15,基准轴15,jo_calf2,revolute,-0.00345491629745502,-0.0795920498747716,-0.0439791899666504,0,0,0,thigh2,0.99905921046351,-0.0433669688591199,0,0,0,-90,30,,,,,,,,
haunch3,0.0297565185590815,0.0199098547938181,0.0204690260037352,0,0,0,0.0528585135805073,1.68180893783093E-05,1.28890772180939E-07,6.23227126669598E-07,1.67223337979409E-05,5.6332316871701E-07,9.20075882093149E-06,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/haunch3.STL,1,1,1,1,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/haunch3.STL,,leg_composed-3/haunch-1;leg_composed-3/servo_plus_horn-2/servo_only-1;leg_composed-3/servo_plus_horn-2/horn_only-1;leg_composed-3/mat-2,坐标系_7,基准轴7,jo_haunch3,revolute,0.075469,0.020618,-0.0088,0,0,-0.20877,body,0,0,-1,0,0,-30,50,,,,,,,,
thigh3,0.0367628694738893,0.0134656928496291,-0.0252188990834557,0,0,0,0.0266777976712455,1.84724950465534E-05,-1.81075400984737E-08,6.55225884463388E-06,1.84860758297264E-05,4.5552848926038E-06,2.51299353850601E-05,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/thigh3.STL,1,1,1,1,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/thigh3.STL,,leg_composed-3/thigh-2,坐标系_8,基准轴8,jo_thigh3,revolute,0.0319927280865405,0.0258953248595306,0.0101499999999997,0,0,0,haunch3,-0.570818413422047,0.821076329520183,0,0,0,-30,50,,,,,,,,
calf3,0.00114987434057429,-0.00169323079686434,-0.0205294925481182,0,0,0,0.0696897389529788,6.14035479822085E-05,-8.57724157440205E-06,-2.1820864963665E-05,6.77534196525168E-05,-1.52993034488835E-05,2.75931824051576E-05,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/calf3.STL,1,1,1,1,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/calf3.STL,,leg_composed-3/calf-1;leg_composed-3/servo_plus_horn-3/horn_only-1;leg_composed-3/servo_plus_horn-3/servo_only-1;leg_composed-3/mat-3,坐标系_9,基准轴9,jo_calf3,revolute,0.0621910510159125,0.043235684422541,-0.050437572959575,0,0,0,thigh3,-0.570818413422048,0.821076329520183,0,0,0,-90,30,,,,,,,,
haunch4,0.0321206993166468,-0.0158149736034416,0.0204690260037409,0,0,0,0.0528585135805073,1.68578953760551E-05,-1.05908768667027E-07,7.99465737984116E-07,1.66825278001951E-05,-2.58068939664942E-07,9.20075882093148E-06,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/haunch4.STL,1,1,1,1,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/haunch4.STL,,leg_composed-4/haunch-1;leg_composed-4/servo_plus_horn-2/servo_only-1;leg_composed-4/mat-2;leg_composed-4/servo_plus_horn-2/horn_only-1,坐标系_10,基准轴10,jo_haunch4,revolute,0.0555906522089202,-0.0550491214110074,-0.00880000000000555,0,0,-0.208770544653029,body,0,0,-1,0,0,-30,50,,,,,,,,
thigh4,0.0280326245601373,-0.0241590036689724,-0.0282726162363582,0,0,0,0.0266777976712455,1.95845582371592E-05,-5.10767748194811E-07,7.62058887478203E-06,1.87388632266481E-05,-3.58469839056692E-06,2.37650847975327E-05,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/thigh4.STL,1,1,1,1,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/thigh4.STL,,leg_composed-4/thigh-2,坐标系_11,基准轴11,jo_thigh4,revolute,0.038422,-0.014759,0.01015,0,0,0,haunch4,0.42566,0.90488,0,0,0,-30,50,,,,,,,,
calf4,-0.01294,0.0038254,-0.015607,0,0,0,0.06969,2.7543E-05,2.1647E-05,-1.6278E-05,6.3578E-05,7.5764E-06,6.5629E-05,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/calf4.STL,1,1,1,1,0,0,0,0,0,0,package://hexapod_urdf_2/meshes/calf4.STL,,leg_composed-4/calf-1;leg_composed-4/servo_plus_horn-3/servo_only-1;leg_composed-4/mat-3;leg_composed-4/servo_plus_horn-3/horn_only-1,坐标系_12,基准轴12,jo_calf4,revolute,0.064517858471575,-0.0303497380130774,-0.0565450204773114,0,0,0,thigh4,0.425663753099527,0.904881411731518,0,0,0,-90,30,,,,,,,,
